id, x, y
1, -2.459350216860326, -0.5329274501487186
3, -3.966245793690442, 3.5346458769169704
7, 0.07677760430082302, 0.19052002753975283
8, 0.9055570292648562, 1.3769773178640066
9, -1.6518896629933588, 4.491315667623476
12, -0.4920015032553801, 0.8394712812153019
21, -1.6646346392369245, 1.5382894923186046
39, -0.49929634247688964, -0.28034513175937775

current id, accessible id, distance
start, 1, 1.2831217866096407
start, 12, 1.578195371324478
start, 21, 2.7518134173469195
12, 1, 1.4426477788813747
1, 12, 1.4426477788813747
12, 39, 0.9149627498701485
39, 12, 0.9149627498701485
12, 8, 2.325150191766954
8, 12, 2.325150191766954
12, 21, 1.2766829575429437
21, 12, 1.2766829575429437
8, 1, 2.766573369202567
1, 8, 2.766573369202567
8, 3, 3.4372209511653082
3, 8, 3.4372209511653082
3, 8, 8.573061509891696
8, 3, 8.573061509891696
3, 7, 3.2036861825250424
7, 3, 3.2036861825250424
