id, x, y
1, -1.326991052675469, -0.12446590718903629
3, 0.6082704199381577, 5.125651788153276
7, 3.379824362996921, 2.536827109773058
8, 1.9976633521509994, 1.605978060803034
9, 2.8730788352227647, 0.17832735942223543
12, 0.2724090998887783, 1.4079037791044473
21, -0.8185900725935067, 2.175812386899405
39, 0.5977853672637992, 0.0036932112093689823

current id, accessible id, distance
start, 1, 1.2504122884728401
start, 12, 1.4749416841931604
start, 21, 2.664238001628097
12, 1, 1.7616080589532777
1, 12, 1.7616080589532777
12, 39, 0.9623573108271454
39, 12, 0.9623573108271454
12, 8, 1.8286203598675903
8, 12, 1.8286203598675903
12, 21, 1.639118257526361
21, 12, 1.639118257526361
8, 1, 3.2306694819775843
1, 8, 3.2306694819775843
8, 3, 3.5515239796104328
3, 8, 3.5515239796104328
