id, x, y
1, -0.9980253979494788, -0.3968361798344992
3, -2.3053087928133635, 2.7136117849062162
7, -3.6318590249049043, 4.386457548873122
8, 1.2849832884547463, 2.0787576978471614
9, -4.937391058309992, 6.461517234999128
12, -0.393663644872783, 1.4780246924454112
21, -1.3587390841240774, 2.4400003965291934
39, 0.47953058431963336, 0.5529242349986904

current id, accessible id, distance
start, 12, 1.4197679069794737
start, 21, 2.8793544306416474
12, 8, 2.16151314545033
8, 12, 2.16151314545033
12, 1, 1.0950178547469807
1, 12, 1.0950178547469807
12, 21, 2.0248912835775745
21, 12, 2.0248912835775745
12, 39, 1.152036357813836
39, 12, 1.152036357813836
8, 1, 2.7097877777671675
1, 8, 2.7097877777671675
8, 3, 3.3186902492853574
3, 8, 3.3186902492853574
3, 8, 3.015873717282214
8, 3, 3.015873717282214
3, 7, 3.09141066685694
7, 3, 3.09141066685694
