id, x, y
1, -2.7438388279023234, 0.6685496304067271
3, 2.099406445930722, 2.753761576045305
7, 2.2548062988181474, -0.6783277458491932
8, 0.07279495726131692, -0.45053460656196065
12, -0.8096635553497805, 1.4983975204609614
21, -1.3496153672925957, 2.5412076454004393
39, -0.8711593303321159, -0.18495856133154615

current id, accessible id, distance
start, 1, 1.5659521276791106
start, 12, 2.0211565279131896
start, 21, 2.7795878607805022
1, 12, 1.9681449386304122
12, 1, 1.9681449386304122
1, 21, 2.505972009369399
21, 1, 2.505972009369399
1, 39, 1.1178536684144906
39, 1, 1.1178536684144906
39, 1, 0.2267036137320194
1, 39, 0.2267036137320194
39, 12, 1.778169332209199
12, 39, 1.778169332209199
39, 21, 2.385197287751204
21, 39, 2.385197287751204
12, 8, 1.8461912714785351
8, 12, 1.8461912714785351
12, 1, 1.348567694954036
1, 12, 1.348567694954036
12, 21, 1.5531882947935067
21, 12, 1.5531882947935067
12, 39, 1.2130415077638161
39, 12, 1.2130415077638161
8, 1, 2.7429368392158917
1, 8, 2.7429368392158917
8, 3, 3.332667448521138
3, 8, 3.332667448521138
8, 12, 1.8930745150794357
12, 8, 1.8930745150794357
3, 8, 2.8490832021140657
8, 3, 2.8490832021140657
3, 7, 2.902896803109826
7, 3, 2.902896803109826
